Date,USDINR18DEC70.5CE O,USDINR18DEC70.5CE H,USDINR18DEC70.5CE L,USDINR18DEC70.5CE C,USDINR18DEC70.5CE V
11/30/2018 1:41:00 PM,0.4325,0.4325,0.43,0.43,128
11/30/2018 1:40:00 PM,0.4325,0.4325,0.4325,0.4325,91
11/30/2018 1:39:00 PM,0.4325,0.4325,0.4325,0.4325,0
11/30/2018 1:38:00 PM,0.4325,0.4325,0.4325,0.4325,0
11/30/2018 1:37:00 PM,0.43,0.4325,0.43,0.4325,10
11/30/2018 1:36:00 PM,0.4325,0.4325,0.43,0.43,50
11/30/2018 1:35:00 PM,0.4225,0.4325,0.4225,0.4325,130
11/30/2018 1:34:00 PM,0.425,0.425,0.42,0.4225,310
11/30/2018 1:33:00 PM,0.43,0.43,0.425,0.425,20
11/30/2018 1:32:00 PM,0.4375,0.4375,0.43,0.43,5
11/30/2018 1:31:00 PM,0.4375,0.44,0.4375,0.4375,10
11/30/2018 1:30:00 PM,0.4375,0.4375,0.4375,0.4375,40
11/30/2018 1:29:00 PM,0.435,0.4375,0.435,0.4375,91
11/30/2018 1:28:00 PM,0.4325,0.435,0.4325,0.435,597
11/30/2018 1:27:00 PM,0.44,0.44,0.4325,0.4325,80
11/30/2018 1:26:00 PM,0.44,0.44,0.44,0.44,0
11/30/2018 1:25:00 PM,0.4325,0.44,0.4325,0.44,50
11/30/2018 1:24:00 PM,0.4325,0.4325,0.4325,0.4325,0
11/30/2018 1:23:00 PM,0.4325,0.4325,0.4325,0.4325,0
11/30/2018 1:22:00 PM,0.4325,0.4325,0.4325,0.4325,0
11/30/2018 1:21:00 PM,0.435,0.435,0.4325,0.4325,184
11/30/2018 1:20:00 PM,0.445,0.445,0.435,0.435,109
11/30/2018 1:19:00 PM,0.435,0.45,0.435,0.445,603
11/30/2018 1:18:00 PM,0.435,0.435,0.435,0.435,0
11/30/2018 1:17:00 PM,0.435,0.435,0.435,0.435,0
11/30/2018 1:16:00 PM,0.435,0.435,0.435,0.435,0
11/30/2018 1:15:00 PM,0.4475,0.4475,0.435,0.435,285
11/30/2018 1:14:00 PM,0.4475,0.4475,0.4475,0.4475,0
11/30/2018 1:13:00 PM,0.445,0.4475,0.445,0.4475,100
11/30/2018 1:12:00 PM,0.4375,0.445,0.4375,0.445,125
11/30/2018 1:11:00 PM,0.4375,0.4375,0.4375,0.4375,0
11/30/2018 1:10:00 PM,0.4375,0.4375,0.435,0.4375,819
11/30/2018 1:09:00 PM,0.4425,0.4425,0.4375,0.4375,150
11/30/2018 1:08:00 PM,0.4425,0.4425,0.4425,0.4425,0
11/30/2018 1:07:00 PM,0.44,0.4425,0.44,0.4425,123
11/30/2018 1:06:00 PM,0.4325,0.44,0.4325,0.44,614
11/30/2018 1:05:00 PM,0.435,0.435,0.4325,0.4325,897
11/30/2018 1:04:00 PM,0.4325,0.435,0.4325,0.435,352
11/30/2018 1:03:00 PM,0.43,0.4325,0.43,0.4325,612
11/30/2018 1:02:00 PM,0.4375,0.4375,0.4225,0.43,1303
11/30/2018 1:01:00 PM,0.4375,0.4375,0.4375,0.4375,0
11/30/2018 1:00:00 PM,0.435,0.4375,0.435,0.4375,50
11/30/2018 12:59:00 PM,0.44,0.44,0.435,0.435,100
11/30/2018 12:58:00 PM,0.44,0.44,0.44,0.44,7
11/30/2018 12:57:00 PM,0.44,0.44,0.44,0.44,7
11/30/2018 12:56:00 PM,0.4425,0.445,0.44,0.44,406
11/30/2018 12:55:00 PM,0.4475,0.4475,0.4425,0.4425,1037
11/30/2018 12:54:00 PM,0.4375,0.45,0.4375,0.4475,453
11/30/2018 12:53:00 PM,0.435,0.4425,0.435,0.4375,379
11/30/2018 12:52:00 PM,0.425,0.435,0.425,0.435,583
11/30/2018 12:51:00 PM,0.42,0.425,0.42,0.425,404
11/30/2018 12:50:00 PM,0.4175,0.42,0.4175,0.42,7
11/30/2018 12:49:00 PM,0.415,0.4175,0.415,0.4175,40
11/30/2018 12:48:00 PM,0.415,0.415,0.415,0.415,0
11/30/2018 12:47:00 PM,0.415,0.415,0.415,0.415,172
11/30/2018 12:46:00 PM,0.415,0.415,0.415,0.415,183
11/30/2018 12:45:00 PM,0.415,0.415,0.415,0.415,342
11/30/2018 12:44:00 PM,0.415,0.42,0.415,0.415,152
11/30/2018 12:43:00 PM,0.4125,0.415,0.41,0.415,1409
11/30/2018 12:42:00 PM,0.41,0.4125,0.41,0.4125,951
11/30/2018 12:41:00 PM,0.4025,0.4125,0.4025,0.41,346
11/30/2018 12:40:00 PM,0.4,0.4075,0.4,0.4025,204
11/30/2018 12:39:00 PM,0.39,0.4,0.39,0.4,267
11/30/2018 12:38:00 PM,0.39,0.39,0.39,0.39,0
11/30/2018 12:37:00 PM,0.39,0.39,0.39,0.39,0
11/30/2018 12:36:00 PM,0.39,0.39,0.39,0.39,25
11/30/2018 12:35:00 PM,0.385,0.39,0.385,0.39,55
11/30/2018 12:34:00 PM,0.385,0.385,0.385,0.385,102
11/30/2018 12:33:00 PM,0.3825,0.385,0.3825,0.385,48
11/30/2018 12:32:00 PM,0.38,0.3825,0.38,0.3825,19
11/30/2018 12:31:00 PM,0.38,0.38,0.38,0.38,0
11/30/2018 12:30:00 PM,0.38,0.38,0.38,0.38,0
11/30/2018 12:29:00 PM,0.38,0.38,0.38,0.38,257
