Date,ZINC18NOVFUT O,ZINC18NOVFUT H,ZINC18NOVFUT L,ZINC18NOVFUT C,ZINC18NOVFUT V
11/29/2018 7:00:00 PM,178.65,178.75,178.55,178.65,91
11/29/2018 6:59:00 PM,178.55,178.65,178.5,178.65,21
11/29/2018 6:58:00 PM,178.5,178.55,178.5,178.55,23
11/29/2018 6:57:00 PM,178.45,178.55,178.45,178.5,8
11/29/2018 6:56:00 PM,178.45,178.55,178.4,178.55,34
11/29/2018 6:55:00 PM,178.4,178.5,178.4,178.45,30
11/29/2018 6:54:00 PM,178.4,178.5,178.4,178.4,34
11/29/2018 6:53:00 PM,178.4,178.5,178.4,178.4,94
11/29/2018 6:52:00 PM,178.4,178.55,178.35,178.4,31
11/29/2018 6:51:00 PM,178.6,178.65,178.4,178.4,40
11/29/2018 6:50:00 PM,178.6,178.65,178.6,178.6,14
11/29/2018 6:49:00 PM,178.55,178.6,178.45,178.6,19
11/29/2018 6:48:00 PM,178.6,178.6,178.5,178.55,24
11/29/2018 6:47:00 PM,178.4,178.6,178.4,178.6,20
11/29/2018 6:46:00 PM,178.2,178.4,178.2,178.4,20
11/29/2018 6:45:00 PM,178.35,178.35,178.2,178.2,21
11/29/2018 6:44:00 PM,178.4,178.4,178.35,178.35,3
11/29/2018 6:43:00 PM,178.45,178.45,178.3,178.4,11
11/29/2018 6:42:00 PM,178.45,178.45,178.4,178.45,16
11/29/2018 6:41:00 PM,178.5,178.5,178.4,178.4,14
11/29/2018 6:40:00 PM,178.6,178.6,178.5,178.5,12
11/29/2018 6:39:00 PM,178.45,178.6,178.45,178.6,8
11/29/2018 6:38:00 PM,178.5,178.6,178.5,178.5,42
11/29/2018 6:37:00 PM,178.45,178.6,178.45,178.5,11
11/29/2018 6:36:00 PM,178.5,178.5,178.45,178.45,15
11/29/2018 6:35:00 PM,178.6,178.6,178.45,178.55,19
11/29/2018 6:34:00 PM,178.5,178.6,178.45,178.6,30
11/29/2018 6:33:00 PM,178.25,178.55,178.2,178.5,63
11/29/2018 6:32:00 PM,178.2,178.25,178.1,178.25,15
11/29/2018 6:31:00 PM,178.15,178.2,178.1,178.2,50
11/29/2018 6:30:00 PM,178.2,178.25,178.1,178.15,60
11/29/2018 6:29:00 PM,178.15,178.35,178.15,178.2,43
11/29/2018 6:28:00 PM,178.2,178.2,178.15,178.15,14
11/29/2018 6:27:00 PM,178.15,178.2,178.1,178.2,34
11/29/2018 6:26:00 PM,178.05,178.15,178,178.15,46
11/29/2018 6:25:00 PM,178.25,178.25,178.05,178.05,34
11/29/2018 6:24:00 PM,178.15,178.3,178.1,178.25,23
11/29/2018 6:23:00 PM,178.15,178.2,178.05,178.15,60
11/29/2018 6:22:00 PM,178.25,178.35,178,178.05,134
11/29/2018 6:21:00 PM,178.3,178.35,178.25,178.25,33
11/29/2018 6:20:00 PM,178.4,178.4,178.3,178.3,44
11/29/2018 6:19:00 PM,178.35,178.4,178.35,178.4,4
11/29/2018 6:18:00 PM,178.4,178.4,178.35,178.35,16
11/29/2018 6:17:00 PM,178.5,178.5,178.4,178.4,31
11/29/2018 6:16:00 PM,178.45,178.5,178.45,178.5,10
11/29/2018 6:15:00 PM,178.55,178.55,178.4,178.45,25
11/29/2018 6:14:00 PM,178.45,178.55,178.45,178.55,13
11/29/2018 6:13:00 PM,178.55,178.55,178.45,178.45,9
11/29/2018 6:12:00 PM,178.5,178.6,178.5,178.55,16
11/29/2018 6:11:00 PM,178.55,178.55,178.45,178.5,13
11/29/2018 6:10:00 PM,178.65,178.7,178.55,178.55,24
11/29/2018 6:09:00 PM,178.65,178.7,178.65,178.65,6
11/29/2018 6:08:00 PM,178.65,178.65,178.65,178.65,1
11/29/2018 6:07:00 PM,178.75,178.75,178.65,178.65,13
11/29/2018 6:06:00 PM,178.65,178.7,178.65,178.7,6
11/29/2018 6:05:00 PM,178.6,178.7,178.6,178.65,8
11/29/2018 6:04:00 PM,178.7,178.7,178.55,178.6,37
11/29/2018 6:03:00 PM,178.75,178.75,178.7,178.7,6
11/29/2018 6:02:00 PM,178.85,178.85,178.75,178.75,9
11/29/2018 6:01:00 PM,178.9,178.95,178.85,178.85,19
11/29/2018 6:00:00 PM,178.8,178.95,178.8,178.9,8
