Date,HDFCBANK18DECFUT O,HDFCBANK18DECFUT H,HDFCBANK18DECFUT L,HDFCBANK18DECFUT C,HDFCBANK18DECFUT V
11/29/2018 10:07:00 AM,2103.1,2103.2,2102.6,2102.8,8000
11/29/2018 10:06:00 AM,2102.65,2103.15,2102.45,2103.1,13000
11/29/2018 10:05:00 AM,2102.8,2103.1,2102.65,2103,30000
11/29/2018 10:04:00 AM,2102.3,2102.8,2102.15,2102.8,22000
11/29/2018 10:03:00 AM,2102.55,2103,2101.95,2102.3,29000
11/29/2018 10:02:00 AM,2103,2103.25,2102.45,2102.55,10500
11/29/2018 10:01:00 AM,2102.6,2103.5,2102.45,2103,15250
11/29/2018 10:00:00 AM,2102.25,2102.95,2102.25,2102.3,18500
11/29/2018 9:59:00 AM,2102.8,2102.8,2102.15,2102.25,25500
11/29/2018 9:58:00 AM,2102.65,2102.65,2102.35,2102.6,56250
11/29/2018 9:57:00 AM,2102.95,2102.95,2102.45,2102.65,25500
11/29/2018 9:56:00 AM,2103,2103,2102.55,2102.95,13000
11/29/2018 9:55:00 AM,2102.65,2103,2102.1,2103,25500
11/29/2018 9:54:00 AM,2102.1,2102.8,2102.1,2102.65,14250
11/29/2018 9:53:00 AM,2100.15,2102.9,2100.15,2102.45,43750
11/29/2018 9:52:00 AM,2102.75,2102.75,2099.55,2100.15,22500
11/29/2018 9:51:00 AM,2102.65,2103,2102.25,2102.75,22250
11/29/2018 9:50:00 AM,2103.1,2103.3,2101.65,2102.65,7750
11/29/2018 9:49:00 AM,2103,2103.35,2102.6,2103.1,9750
11/29/2018 9:48:00 AM,2102.7,2103.5,2102.6,2103,27250
11/29/2018 9:47:00 AM,2102.95,2103,2101.4,2102.7,8750
11/29/2018 9:46:00 AM,2102.55,2103,2102,2102.75,19750
11/29/2018 9:45:00 AM,2103.15,2103.5,2102.55,2102.55,18000
11/29/2018 9:44:00 AM,2103.05,2103.7,2102.75,2103.15,3000
11/29/2018 9:43:00 AM,2103.25,2103.25,2101.4,2103.05,16000
11/29/2018 9:42:00 AM,2103.1,2103.45,2102.6,2103.25,11750
11/29/2018 9:41:00 AM,2103.25,2103.3,2102.65,2103.1,13250
11/29/2018 9:40:00 AM,2103.35,2103.55,2103.1,2103.25,12000
11/29/2018 9:39:00 AM,2102.8,2103.35,2102.6,2103.35,9500
11/29/2018 9:38:00 AM,2102.55,2103,2102.5,2102.8,16500
11/29/2018 9:37:00 AM,2103.35,2103.55,2102.55,2102.55,12500
11/29/2018 9:36:00 AM,2102.7,2103.6,2102.55,2103.25,29000
11/29/2018 9:35:00 AM,2103.45,2103.45,2102.7,2102.7,46500
11/29/2018 9:34:00 AM,2102.4,2103.85,2102.35,2103.4,27750
