Date,INDUSINDBK18DECFUT O,INDUSINDBK18DECFUT H,INDUSINDBK18DECFUT L,INDUSINDBK18DECFUT C,INDUSINDBK18DECFUT V
11/29/2018 10:42:00 AM,1651.8,1651.8,1651.4,1651.4,18600
11/29/2018 10:41:00 AM,1652,1652,1651.7,1651.7,4500
11/29/2018 10:40:00 AM,1651.55,1652,1651.4,1652,24900
11/29/2018 10:39:00 AM,1651.8,1652,1651.55,1651.55,20400
11/29/2018 10:38:00 AM,1651.7,1652,1651.7,1651.8,9600
11/29/2018 10:37:00 AM,1650.85,1651.7,1650.6,1651.7,3300
11/29/2018 10:36:00 AM,1651.15,1651.2,1650.55,1650.85,3600
11/29/2018 10:35:00 AM,1650.2,1651.3,1650.2,1651.15,2700
11/29/2018 10:34:00 AM,1649.55,1650.4,1649.55,1650.2,4200
11/29/2018 10:33:00 AM,1648.65,1649.55,1648.65,1649.55,4800
11/29/2018 10:32:00 AM,1650.4,1650.4,1648.05,1648.65,12300
11/29/2018 10:31:00 AM,1650,1651.05,1650,1650.4,7500
11/29/2018 10:30:00 AM,1650.15,1650.95,1650,1650.1,5700
11/29/2018 10:29:00 AM,1650,1651,1650,1650.15,4500
11/29/2018 10:28:00 AM,1649.6,1650,1649.6,1650,9000
11/29/2018 10:27:00 AM,1648.65,1649.7,1648.65,1649.6,4800
11/29/2018 10:26:00 AM,1648.6,1649,1648.55,1648.65,9900
11/29/2018 10:25:00 AM,1647.6,1649,1647.6,1648.6,3000
11/29/2018 10:24:00 AM,1647.5,1648.2,1647.5,1647.6,9000
11/29/2018 10:23:00 AM,1648.05,1648.6,1647.5,1647.5,3300
11/29/2018 10:22:00 AM,1649,1649,1648,1648.05,8100
11/29/2018 10:21:00 AM,1649.8,1649.95,1649,1649,3900
11/29/2018 10:20:00 AM,1648.75,1650.8,1648.75,1649.8,8100
11/29/2018 10:19:00 AM,1649.75,1649.75,1647.65,1648.75,4800
11/29/2018 10:18:00 AM,1650.45,1650.45,1649.75,1649.75,17700
11/29/2018 10:17:00 AM,1650.05,1650.45,1649.9,1650.45,12600
11/29/2018 10:16:00 AM,1651.25,1651.25,1650.05,1650.05,12900
11/29/2018 10:15:00 AM,1650.55,1651.75,1650.55,1651.25,27000
11/29/2018 10:14:00 AM,1651,1652,1650.55,1650.55,11400
11/29/2018 10:13:00 AM,1651.55,1652,1651,1651,9000
11/29/2018 10:12:00 AM,1652.05,1652.3,1651.55,1651.55,6900
11/29/2018 10:11:00 AM,1653,1653,1652,1652.7,8100
11/29/2018 10:10:00 AM,1650.2,1652.7,1650.2,1652.7,7200
11/29/2018 10:09:00 AM,1651,1651.4,1649.75,1650.2,18600
11/29/2018 10:08:00 AM,1651,1652.45,1651,1652.45,11400
11/29/2018 10:07:00 AM,1648.6,1651.45,1648.6,1651.45,16200
11/29/2018 10:06:00 AM,1647.5,1649.1,1647.5,1648.6,16500
11/29/2018 10:05:00 AM,1645.2,1647.5,1645.2,1647.5,4800
11/29/2018 10:04:00 AM,1646.85,1647.9,1645.2,1645.2,36600
11/29/2018 10:03:00 AM,1645.2,1646.85,1645.2,1646.85,53400
11/29/2018 10:02:00 AM,1645.25,1645.25,1643.75,1645.2,4200
11/29/2018 10:01:00 AM,1644.2,1645.75,1643.95,1645.25,16800
11/29/2018 10:00:00 AM,1643,1645,1642.9,1644.2,15000
11/29/2018 9:59:00 AM,1645.25,1645.25,1642.65,1643.25,9900
11/29/2018 9:58:00 AM,1644.95,1646.35,1643.85,1645.25,7500
11/29/2018 9:57:00 AM,1646.4,1646.4,1643.75,1644.95,16200
11/29/2018 9:56:00 AM,1647.05,1647.9,1646.4,1646.4,8100
11/29/2018 9:55:00 AM,1646,1647.9,1645.8,1647.05,9900
11/29/2018 9:54:00 AM,1644.4,1647.65,1644,1646,16200
11/29/2018 9:53:00 AM,1644.5,1645.5,1644.1,1644.55,20100
11/29/2018 9:52:00 AM,1643.05,1644.2,1642.9,1644.1,7200
11/29/2018 9:51:00 AM,1644,1644.4,1643.65,1643.65,5100
11/29/2018 9:50:00 AM,1644.5,1645,1644,1644,10200
11/29/2018 9:49:00 AM,1645,1645,1644,1644.5,5400
11/29/2018 9:48:00 AM,1643,1645,1642.6,1645,14100
11/29/2018 9:47:00 AM,1642.2,1643,1641.55,1643,4200
11/29/2018 9:46:00 AM,1641.95,1642.4,1641.2,1642.2,9900
11/29/2018 9:45:00 AM,1641.65,1642.4,1641.45,1641.95,18300
11/29/2018 9:44:00 AM,1641.85,1642,1641.1,1641.65,11100
11/29/2018 9:43:00 AM,1643.45,1643.5,1641.85,1641.85,11100
11/29/2018 9:42:00 AM,1642.1,1643.55,1641.85,1643.45,6900
11/29/2018 9:41:00 AM,1643.25,1644.3,1642.15,1642.15,10500
11/29/2018 9:40:00 AM,1641.25,1643.5,1640.95,1643.3,18000
11/29/2018 9:39:00 AM,1639.6,1641.25,1639.6,1641.25,1500
11/29/2018 9:38:00 AM,1640.6,1640.6,1639.6,1639.6,5400
11/29/2018 9:37:00 AM,1640,1640.55,1639.85,1639.85,7500
11/29/2018 9:36:00 AM,1639.05,1640,1638.8,1640,5700
11/29/2018 9:35:00 AM,1638.8,1639.95,1637.95,1639.05,26400
11/29/2018 9:34:00 AM,1641.25,1642,1637.8,1638.8,24600
