Date,PNB18DECFUT O,PNB18DECFUT H,PNB18DECFUT L,PNB18DECFUT C,PNB18DECFUT V
11/29/2018 10:48:00 AM,69.4,69.45,69.4,69.4,896500
11/29/2018 10:47:00 AM,69.25,69.4,69.2,69.4,121000
11/29/2018 10:46:00 AM,69.35,69.4,69.25,69.25,610500
11/29/2018 10:45:00 AM,69.4,69.5,69.4,69.4,143000
11/29/2018 10:44:00 AM,69.45,69.45,69.4,69.4,44000
11/29/2018 10:43:00 AM,69.35,69.45,69.35,69.45,104500
11/29/2018 10:42:00 AM,69.25,69.35,69.25,69.35,99000
11/29/2018 10:41:00 AM,69.2,69.25,69.15,69.25,121000
11/29/2018 10:40:00 AM,69.2,69.3,69.15,69.2,143000
11/29/2018 10:39:00 AM,69.3,69.35,69.2,69.2,126500
11/29/2018 10:38:00 AM,69.3,69.35,69.15,69.3,374000
11/29/2018 10:37:00 AM,69.45,69.55,69.3,69.3,286000
11/29/2018 10:36:00 AM,69.45,69.5,69.4,69.5,126500
11/29/2018 10:35:00 AM,69.5,69.5,69.45,69.45,115500
11/29/2018 10:34:00 AM,69.55,69.6,69.5,69.5,137500
11/29/2018 10:33:00 AM,69.45,69.65,69.45,69.65,148500
11/29/2018 10:32:00 AM,69.55,69.55,69.45,69.45,192500
11/29/2018 10:31:00 AM,69.75,69.75,69.55,69.55,275000
11/29/2018 10:30:00 AM,69.85,69.85,69.7,69.75,82500
11/29/2018 10:29:00 AM,69.9,69.9,69.8,69.85,66000
11/29/2018 10:28:00 AM,69.85,69.9,69.85,69.9,27500
11/29/2018 10:27:00 AM,69.8,69.85,69.8,69.85,38500
11/29/2018 10:26:00 AM,69.85,69.85,69.8,69.8,77000
11/29/2018 10:25:00 AM,69.9,69.95,69.8,69.8,137500
11/29/2018 10:24:00 AM,70,70,69.95,69.95,60500
11/29/2018 10:23:00 AM,70.1,70.1,70,70,44000
11/29/2018 10:22:00 AM,70.05,70.1,70.05,70.1,110000
11/29/2018 10:21:00 AM,70.05,70.1,70,70.05,104500
11/29/2018 10:20:00 AM,69.95,70.05,69.95,70.05,33000
11/29/2018 10:19:00 AM,70.05,70.05,70,70,115500
11/29/2018 10:18:00 AM,70.1,70.1,70.1,70.1,148500
11/29/2018 10:17:00 AM,70.15,70.15,70.1,70.1,49500
11/29/2018 10:16:00 AM,70.1,70.15,70.05,70.15,126500
11/29/2018 10:15:00 AM,69.95,70.1,69.95,70.1,49500
11/29/2018 10:14:00 AM,69.95,69.95,69.95,69.95,159500
11/29/2018 10:13:00 AM,69.9,69.9,69.85,69.9,115500
11/29/2018 10:12:00 AM,69.95,69.95,69.9,69.9,264000
11/29/2018 10:11:00 AM,70,70,69.9,69.95,71500
11/29/2018 10:10:00 AM,70,70.05,70,70.05,115500
11/29/2018 10:09:00 AM,69.9,69.95,69.9,69.95,38500
11/29/2018 10:08:00 AM,69.9,70,69.9,70,77000
11/29/2018 10:07:00 AM,69.95,69.95,69.9,69.9,49500
11/29/2018 10:06:00 AM,70.1,70.1,70,70.05,99000
11/29/2018 10:05:00 AM,70,70.1,70,70.1,176000
11/29/2018 10:04:00 AM,70.05,70.05,70,70.05,88000
11/29/2018 10:03:00 AM,70.15,70.15,70.1,70.1,154000
11/29/2018 10:02:00 AM,70.2,70.2,70.2,70.2,27500
11/29/2018 10:01:00 AM,70.3,70.3,70.25,70.25,16500
11/29/2018 10:00:00 AM,70.3,70.3,70.3,70.3,71500
11/29/2018 9:59:00 AM,70.3,70.35,70.3,70.3,165000
11/29/2018 9:58:00 AM,70.3,70.35,70.3,70.35,55000
11/29/2018 9:57:00 AM,70.3,70.35,70.25,70.35,71500
11/29/2018 9:56:00 AM,70.2,70.3,70.15,70.3,99000
11/29/2018 9:55:00 AM,70.25,70.3,70.2,70.25,82500
11/29/2018 9:54:00 AM,70.05,70.25,70.05,70.25,192500
11/29/2018 9:53:00 AM,70,70.1,70,70.1,451000
11/29/2018 9:52:00 AM,70,70,69.85,69.95,352000
11/29/2018 9:51:00 AM,70,70.1,70,70,137500
11/29/2018 9:50:00 AM,70.2,70.2,70.05,70.05,214500
11/29/2018 9:49:00 AM,70.05,70.1,70.05,70.1,225500
11/29/2018 9:48:00 AM,70.1,70.1,70,70,88000
11/29/2018 9:47:00 AM,70.15,70.15,70.1,70.1,231000
11/29/2018 9:46:00 AM,70.15,70.15,70.1,70.15,132000
11/29/2018 9:45:00 AM,70.15,70.15,70.15,70.15,38500
11/29/2018 9:44:00 AM,70.2,70.25,70.2,70.2,60500
11/29/2018 9:43:00 AM,70.25,70.25,70.2,70.2,44000
11/29/2018 9:42:00 AM,70.3,70.3,70.3,70.3,423500
11/29/2018 9:41:00 AM,70.3,70.35,70.3,70.3,451000
11/29/2018 9:40:00 AM,70.15,70.3,70.15,70.3,71500
11/29/2018 9:39:00 AM,70.35,70.35,70.15,70.15,649000
11/29/2018 9:38:00 AM,70.3,70.4,70.3,70.35,308000
