Date,FEDERALBNK-EQ O,FEDERALBNK-EQ H,FEDERALBNK-EQ L,FEDERALBNK-EQ C,FEDERALBNK-EQ V
10/10/2018 3:24:00 PM,74,74,73.8,73.8,47981
10/10/2018 3:23:00 PM,73.95,74.15,73.8,73.95,242514
10/10/2018 3:22:00 PM,73.7,73.9,73.65,73.8,205409
10/10/2018 3:21:00 PM,73.7,73.85,73.7,73.75,45620
10/10/2018 3:20:00 PM,73.75,73.9,73.7,73.7,45051
10/10/2018 3:19:00 PM,73.9,73.9,73.75,73.75,71223
10/10/2018 3:18:00 PM,73.95,73.95,73.85,73.9,48428
10/10/2018 3:17:00 PM,73.9,74,73.85,73.9,62858
10/10/2018 3:16:00 PM,73.9,74,73.8,73.9,75841
10/10/2018 3:15:00 PM,73.6,73.95,73.6,73.9,123064
10/10/2018 3:14:00 PM,73.4,73.75,73.4,73.6,130180
10/10/2018 3:13:00 PM,73.45,73.5,73.4,73.4,120270
10/10/2018 3:12:00 PM,73.25,73.55,73.25,73.45,367827
10/10/2018 3:11:00 PM,73.4,73.4,73.25,73.3,31148
10/10/2018 3:10:00 PM,73.3,73.35,73.2,73.35,59686
10/10/2018 3:09:00 PM,73.15,73.4,73.15,73.35,91422
10/10/2018 3:08:00 PM,73.15,73.3,73.1,73.15,33637
10/10/2018 3:07:00 PM,73.15,73.2,73.05,73.1,25048
10/10/2018 3:06:00 PM,73.2,73.25,73.1,73.15,16341
10/10/2018 3:05:00 PM,73.25,73.3,73.15,73.2,44581
10/10/2018 3:04:00 PM,73.25,73.25,73.15,73.25,17529
10/10/2018 3:03:00 PM,73.15,73.25,73.1,73.25,21174
10/10/2018 3:02:00 PM,73.25,73.3,73.15,73.15,25061
10/10/2018 3:01:00 PM,73.15,73.3,73.1,73.25,36582
10/10/2018 3:00:00 PM,73.1,73.15,73.05,73.1,29636
10/10/2018 2:59:00 PM,73.05,73.15,73.05,73.1,12271
10/10/2018 2:58:00 PM,73.25,73.25,73.05,73.05,35635
10/10/2018 2:57:00 PM,73.25,73.3,73.2,73.25,13138
10/10/2018 2:56:00 PM,73.25,73.3,73.15,73.3,20093
10/10/2018 2:55:00 PM,73.15,73.25,73.1,73.25,13014
10/10/2018 2:54:00 PM,73.25,73.3,73.05,73.1,135432
10/10/2018 2:53:00 PM,73.4,73.4,73.2,73.2,42533
10/10/2018 2:52:00 PM,73.35,73.4,73.2,73.4,79879
10/10/2018 2:51:00 PM,72.95,73.3,72.95,73.3,188619
10/10/2018 2:50:00 PM,73,73.1,72.9,72.95,66007
10/10/2018 2:49:00 PM,73.25,73.3,73,73,50416
10/10/2018 2:48:00 PM,73.1,73.3,73.05,73.3,60078
10/10/2018 2:47:00 PM,73,73.25,73,73.1,57458
10/10/2018 2:46:00 PM,73.1,73.15,72.95,73,163092
10/10/2018 2:45:00 PM,72.65,73.1,72.6,73.05,393803
10/10/2018 2:44:00 PM,72.6,72.65,72.55,72.6,12549
10/10/2018 2:43:00 PM,72.55,72.6,72.5,72.6,18369
10/10/2018 2:42:00 PM,72.65,72.65,72.5,72.55,14503
10/10/2018 2:41:00 PM,72.6,72.65,72.55,72.65,26403
10/10/2018 2:40:00 PM,72.55,72.7,72.55,72.55,7445
10/10/2018 2:39:00 PM,72.55,72.65,72.5,72.6,12853
10/10/2018 2:38:00 PM,72.55,72.65,72.5,72.55,44965
10/10/2018 2:37:00 PM,72.55,72.8,72.45,72.6,155983
10/10/2018 2:36:00 PM,72.35,72.55,72.35,72.55,48860
10/10/2018 2:35:00 PM,72.4,72.45,72.35,72.45,22064
10/10/2018 2:34:00 PM,72.4,72.45,72.35,72.4,58544
