Date,USDINR18DEC72CE O,USDINR18DEC72CE H,USDINR18DEC72CE L,USDINR18DEC72CE C,USDINR18DEC72CE V
12/3/2018 11:17:00 AM,0.11,0.11,0.1075,0.11,198
12/3/2018 11:16:00 AM,0.11,0.11,0.11,0.11,28
12/3/2018 11:15:00 AM,0.11,0.11,0.11,0.11,40
12/3/2018 11:14:00 AM,0.11,0.11,0.11,0.11,10
12/3/2018 11:13:00 AM,0.11,0.11,0.11,0.11,0
12/3/2018 11:12:00 AM,0.1125,0.1125,0.11,0.11,60
12/3/2018 11:11:00 AM,0.115,0.115,0.1125,0.1125,10
12/3/2018 11:10:00 AM,0.115,0.115,0.115,0.115,0
12/3/2018 11:09:00 AM,0.115,0.115,0.115,0.115,78
12/3/2018 11:08:00 AM,0.1125,0.115,0.1125,0.115,102
12/3/2018 11:07:00 AM,0.11,0.1125,0.11,0.1125,19
12/3/2018 11:06:00 AM,0.11,0.11,0.11,0.11,0
12/3/2018 11:05:00 AM,0.11,0.11,0.11,0.11,69
12/3/2018 11:04:00 AM,0.11,0.11,0.11,0.11,200
12/3/2018 11:03:00 AM,0.11,0.11,0.11,0.11,0
12/3/2018 11:02:00 AM,0.11,0.11,0.11,0.11,0
12/3/2018 11:01:00 AM,0.11,0.11,0.11,0.11,13
12/3/2018 11:00:00 AM,0.11,0.11,0.11,0.11,131
12/3/2018 10:59:00 AM,0.11,0.11,0.11,0.11,14
12/3/2018 10:58:00 AM,0.11,0.11,0.11,0.11,32
12/3/2018 10:57:00 AM,0.11,0.11,0.11,0.11,69
12/3/2018 10:56:00 AM,0.11,0.11,0.11,0.11,42
12/3/2018 10:55:00 AM,0.1125,0.1125,0.11,0.11,3
12/3/2018 10:54:00 AM,0.11,0.1125,0.11,0.1125,83
12/3/2018 10:53:00 AM,0.11,0.1125,0.11,0.11,22
12/3/2018 10:52:00 AM,0.11,0.11,0.11,0.11,5
12/3/2018 10:51:00 AM,0.11,0.11,0.11,0.11,10
12/3/2018 10:50:00 AM,0.11,0.11,0.1075,0.11,69
12/3/2018 10:49:00 AM,0.1075,0.11,0.1075,0.11,8
